repo_owner,repo_name,issue_number,title,body_length,num_labels,created_at,closed_at,num_comments,has_gfi_label,days_open,resolver,resolver_commit_count,is_newcomer_resolver,resolution_method,confidence_score
microsoft,vscode,258908,"Allow stop editing all currently editable cells",560,5,2025-07-30T07:21:40Z,2025-08-04T21:28:52Z,1,1,5,copilot-swe-agent,0,1,pr,high
microsoft,vscode,257193,"Dev container uses node 20 but VS code requires 22",1748,1,2025-07-22T03:05:01Z,2025-07-23T09:25:56Z,5,1,1,Rishi-infy47,1,1,pr,medium
microsoft,vscode,259576,"Error When Building VSCode from Source on Windows with Visual Studio Installed in a Custom Path",4042,5,2025-08-04T14:58:57Z,2025-09-01T23:32:22Z,2,1,28,copilot-swe-agent,0,1,pr,high
microsoft,vscode,260762,"`workbench.action.compareEditor.openSide` (""open file"" in diff editor) doesn't have a command in command palette",488,6,2025-08-09T13:44:02Z,2025-09-04T13:23:16Z,6,1,25,LeftPhalange,1,1,pr,medium
microsoft,vscode,216511,"Sync icon rotation is uneven (it is wobbling)",574,6,2024-06-18T15:29:43Z,2025-06-12T14:48:29Z,13,1,358,,,,,
microsoft,vscode,246971,"Add `Installed` into the extension filter menu",1728,7,2025-04-19T16:34:02Z,2025-05-08T14:02:34Z,14,1,18,adnval,1,1,pr,high
microsoft,vscode,188711,"Active walkthroughs have a truncated active state",1416,5,2023-07-24T19:28:25Z,2025-04-30T06:16:37Z,5,1,645,noahbowman,1,1,pr,medium
microsoft,vscode,233910,"Make Command Center debug launcher offer most recently used configuration first",646,6,2024-11-15T15:54:38Z,2025-02-18T18:01:16Z,6,1,95,notoriousmango,7,0,pr,high
microsoft,vscode,231439,"Extension detail content escapes editor",145,5,2024-10-15T20:38:51Z,2025-02-11T13:02:09Z,12,1,118,nknguyenhc,1,1,pr,high
microsoft,vscode,234468,"Add node as npm script runner",451,6,2024-11-23T08:55:14Z,2025-02-07T17:26:32Z,8,1,76,xymopen,1,1,pr,high
microsoft,vscode,231500,"RGB alpha on terminal cursor has no effect after changing settings",1776,5,2024-10-16T13:49:24Z,2025-01-30T14:56:08Z,4,1,106,,,,,
microsoft,vscode,237749,"Request: Add ${unixtime} Placeholder for markdown.copyFiles.destination Option",1068,7,2025-01-12T23:18:46Z,2025-01-29T17:36:37Z,3,1,16,fa0311,1,1,pr,high
microsoft,vscode,237358,"Enable Select Typescript Version command in tsconfig.json",513,4,2025-01-06T18:30:30Z,2025-01-28T23:38:44Z,3,1,22,HD787,5,0,pr,medium
microsoft,vscode,235085,"Support custom switch-case indentation for JavaScript",843,8,2024-12-03T08:59:35Z,2025-01-15T19:42:50Z,9,1,43,aslezar,12,0,pr,high
microsoft,vscode,184553,"markdown preview: allow opening images in a new editor",402,7,2023-06-07T23:01:45Z,2024-12-17T19:55:27Z,19,1,558,notoriousmango,4,0,pr,high
microsoft,vscode,230370,"Code is misparsing the glibc version on Fedora Rawhide",1530,6,2024-10-03T08:35:17Z,2024-12-16T15:57:14Z,4,1,74,aslezar,7,0,pr,high
microsoft,vscode,236222,"`javascript.inlayHints.enumMemberValues.enabled` should be removed because javascript does not have enums",1530,6,2024-12-16T12:50:25Z,2024-12-19T20:16:40Z,0,1,3,DetachHead,1,1,pr,high
microsoft,vscode,214481,"Add option to ignore code blocks in text-to-speech",508,6,2024-06-06T16:35:29Z,2024-12-12T03:48:05Z,14,1,188,jaymroy,1,1,pr,high
microsoft,vscode,232351,"""Organize Imports"" should be found when searching for ""Optimize Imports.""",724,3,2024-10-27T02:26:23Z,2024-12-10T23:32:53Z,7,1,44,Kannav02,1,1,pr,medium
microsoft,vscode,233915,"share button on local extension page and marketplace",704,5,2024-11-15T16:36:14Z,2024-11-27T15:09:58Z,10,1,11,cachandlerdev,1,1,pr,medium
microsoft,vscode,217927,"Support `/dir/file_path.txt, <line>` link format",518,7,2024-06-25T10:33:34Z,2024-11-07T21:51:11Z,3,1,135,BugGambit,1,1,pr,high
microsoft,vscode,158682,"Inconsistent display of bare indented code blocks and fenced code blocks (```) in Markdown preview",1757,5,2022-08-21T01:41:01Z,2024-12-10T00:25:51Z,14,1,841,,,,,
microsoft,vscode,92586,"Provide way to check chrome://gpu",661,3,2020-03-12T15:51:13Z,2024-10-15T09:00:18Z,14,1,1677,BABA983,16,0,pr,high
microsoft,vscode,230636,"Windows: using `edge` as `workbench.externalBrowser` opens default browser too",2190,6,2024-10-06T12:11:16Z,2024-10-12T07:27:33Z,9,1,5,,,,,
