primary_language,languages,repo_owner,repo_name,repo_full_name,repo_topics,issue_number,title,body,labels,num_comments,assignees,participants,has_gfi_label,created_at,updated_at,days_open,url,newcomer_score
HTML,HTML:66.8%; CSS:25.5%; JavaScript:7.7%,InnoWebLabs,Vehigo,InnoWebLabs/Vehigo,,1039,Header Links Broken on Blog Page," ### 🔍 Description The **header navigation links** on `blog.html` are **not redirecting to their respective pages** and appear to be broken. ### ✅ Expected Behavior Each header link should correctly navigate to its assigned page (Home, About, Contact, etc.). ### ⚙️ Possible Causes - Incorrect or missing `href` paths - Navigation structure mismatch on this page only ### 🧩 Suggested Fix Update the `href` or routing paths for header links in `blog.html` to match the correct URLs. Assign this issue ",enhancement; good first issue; level 1; gssoc25,2,1,2,True,2025-10-19,2025-10-20,1,https://github.com/InnoWebLabs/Vehigo/issues/1039,0.994
HTML,HTML:66.8%; CSS:25.5%; JavaScript:7.7%,InnoWebLabs,Vehigo,InnoWebLabs/Vehigo,,1040,Header Links Not Working Properly on About Page," ### 🔍 Description The **header navigation links** on the **About page** are not linked correctly or redirecting to the wrong pages. ### ✅ Expected Behavior All header links (Home, Services, Blog, Contact, etc.) should navigate to their respective pages smoothly. ### ⚙️ Possible Causes - Incorrect `href` or route configuration in `about.html` - Inconsistent header component compared to other pages ### 🧩 Suggested Fix Verify and update the header link paths in `about.html` to match the correct UR",good first issue; level 1; gssoc25; frontend,2,1,2,True,2025-10-19,2025-10-20,1,https://github.com/InnoWebLabs/Vehigo/issues/1040,0.989
Go,Go:60.6%; TypeScript:24.7%; Python:10.1%; Mustache:1.4%; Shell:1.2%; Makefile:1%; JavaScript:0.8%; Dockerfile:0.1%; Starlark:0.1%,kubeflow,model-registry,kubeflow/model-registry,,1284,[Client] Description not populating,"**Describe the bug** When a registered model is created and `description` is given, it is not set. ```py mr.register_model( name=""test-model"", uri=""s3://fake-bucket/fake-model"", version=""0.0.3"", model_format_version=""v1"", model_format_name=""onnx"", description=""A fake model"", metadata={ ""accuracy"": 0.95, }, ) ``` It returns: ```py RegisteredModel(name='test-model', id='1', description=None, external_id=None, create_time_since_epoch='1752003127919', last_update_time_since_epoch='1752003127919', cu",bug; good first issue,11,0,5,True,2025-07-08,2025-10-20,103,https://github.com/kubeflow/model-registry/issues/1284,0.989
JavaScript,JavaScript:99.7%; HTML:0.2%; CSS:0.1%,Bavanetha27,Refixly,Bavanetha27/Refixly,firebase-auth; gssoc25; opensource; reactjs; tailwindcss; mern-stack; ar,123,Terms of Service,"## Describe the Feature The project currently does not include a Terms of Service page, though it is mentioned in the footer. Adding it will help clarify the rules, responsibilities, and legal guidelines for users interacting with the platform. **Expected Behavior:** * Include a **dedicated page** accessible from the footer. * Users should be able to **read the full terms**. ",enhancement; good first issue; beginner; gssoc25,1,1,2,True,2025-10-02,2025-10-20,17,https://github.com/Bavanetha27/Refixly/issues/123,0.986
Java,Java:100%,kestra-io,plugin-fs,kestra-io/plugin-fs,kestra; sftp; http; ftps; ftp; plugin; hacktoberfest,232,SSH OpenSSH Auth no password error is too vague,"### Describe the issue ```yaml id: ssh_git_sync_openssh namespace: company.team tasks: - id: connect_to_ssh type: io.kestra.plugin.fs.ssh.Command host: myserver authMethod: OPEN_SSH openSSHConfigDir: ~/.ssh/config commands: - echo ""Hello World"" triggers: - id: schedule type: io.kestra.plugin.core.trigger.Schedule cron: ""0 7 * * *"" disabled: true ``` SSH Config: ``` Host myserver HostName whisper.pi.willr.uk User wrussell IdentityFile ~/.ssh/id_rsa ``` This results in the following error: <img wi",bug; area/plugin; good first issue,9,1,4,True,2025-10-09,2025-10-20,11,https://github.com/kestra-io/plugin-fs/issues/232,0.984
HTML,HTML:66.8%; CSS:25.5%; JavaScript:7.7%,InnoWebLabs,Vehigo,InnoWebLabs/Vehigo,,1041,Footer Links Not Working Properly on Rent Car Page," ### 🔍 Description The **footer links** on the **Rent Car page** are not functioning correctly. Specifically, the **Privacy Policy** and **Contact** links do not navigate to their respective pages as expected. ### ✅ Expected Behavior All footer links should navigate to their respective pages smoothly when clicked. ### ⚙️ Possible Causes - Incorrect `href` or route configuration in `rentcar.html` - Footer component differs from other pages or is not updated ### 🧩 Suggested Fix Verify and update t",good first issue; level 1; gssoc25; UI/UX,2,1,2,True,2025-10-19,2025-10-20,1,https://github.com/InnoWebLabs/Vehigo/issues/1041,0.982
C++,C++:90.2%; C:9.4%; CMake:0.2%; Makefile:0.1%,SwagSoftware,KisakCOD,SwagSoftware/KisakCOD,,1,Github Actions CI/CD,"# Required - [x] Windows x86 Client - [x] Windows x86 Dedicated Server # Pending x64 Functionality - [ ] Windows x64 Client - [ ] Windows x64 Dedicated Server - [ ] Linux x64 Client - [ ] Linux x64 Dedicated Server ## Notes The Linux Client and Dedicated Server will have changes made to the `CMakeLists.txt` to support not just Windows but also Clang. This will involve changing how libraries and flags are passed in for each platform. I already have a project that does this, but trying to only bre",good first issue; feature-request,1,0,1,True,2025-06-26,2025-10-20,116,https://github.com/SwagSoftware/KisakCOD/issues/1,0.981
Python,Python:97.5%; HTML:1%; Inno Setup:0.5%; Shell:0.4%; Batchfile:0.4%; PowerShell:0.2%,ArduPilot,MethodicConfigurator,ArduPilot/MethodicConfigurator,ardupilot; configuration-management; devsecops; parameters; traceability; arducopter,460,Scroll with mouse wheel does not work over labels and text fields in components and in parameters,### Is there an existing issue for this? - [x] I have searched the existing issues ### Description of the bug On Windows scroll is possible only on empty places without any child component. ### Steps To Reproduce No steps - it's just existing UI bug ### Expected behavior Would be handy to enable scrolling over all components except comboboxes. ### Software information - Operating system: MS Windows - ArduPilot Methodic Configuration version: 1.4.4 and 2.6.1 ,good first issue,10,1,4,True,2025-05-02,2025-10-20,171,https://github.com/ArduPilot/MethodicConfigurator/issues/460,0.981
C++,C++:85.3%; C#:3.3%; C:3%; Java:2.8%; GLSL:1.7%; Objective-C++:1.5%; Python:1%; Kotlin:0.5%; JavaScript:0.4%; GDScript:0.4%,godotengine,godot,godotengine/godot,game-engine; godot; godotengine; open-source; multi-platform; gamedev; game-development,111769,The _spawn_custom callback does not exist in the codebase but is mentioned in an error message,"### Tested versions master branch ### System information not relevant ### Issue description line 241 of godot/modules/multiplayer/scene_replication_interface.cpp has a ERR_FAIL_COND_V_MSG with the this message: ```The MultiplayerSynchronizer at path \""%s\"" is unable to process the pending spawn since it has no network ID. This might happen when changing the multiplayer authority during the \""_ready\"" callback. Make sure to only change the authority of multiplayer synchronizers during \""_enter_tr",bug; good first issue; topic:multiplayer,3,0,3,True,2025-10-17,2025-10-20,2,https://github.com/godotengine/godot/issues/111769,0.98
Python,Python:96.4%; JavaScript:1.1%; CSS:1%; HTML:0.7%; Roff:0.5%; Shell:0.2%,ShirshenduR,Streamify,ShirshenduR/Streamify,hacktoberfest; hacktoberfest-accepted,2,"Mini Cards Overlapping on Small Screens
",Description: Song mini cards in the homepage or playlist grid overlap or break alignment when viewed on phones. Expected Behavior: Cards should wrap properly in a single column or responsive grid with consistent margins. Possible Fix: Use CSS grid with auto-fit and minmax(). Check media queries for widths below 768px. ,bug; help wanted; good first issue; hacktoberfest-accepted,1,1,2,True,2025-10-20,2025-10-20,0,https://github.com/ShirshenduR/Streamify/issues/2,0.978
